cfg.experiment,cfg.size,cfg.start,cfg.goal,cfg.distractor,cfg.r_int,cfg.distractor_idx,cfg.beta,cfg.lr,cfg.delta_c,cfg.delta_phi,cfg.tau,cfg.gamma,cfg.horizon,cfg.J_opt,cfg.d_grid,cfg.seeds,cfg.n_iters,J_advisor,J_clean,J_deployed_mix,J_mix,d,occ_advisor,occ_clean,occ_deployed_mix,occ_mix,pct_clean,pct_deployed_mix,pct_mix,residual,seed
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,2.275887115952587e-06,0.7169755483057655,0.3474966424619374,0.5671858897398917,4,0.020167031872946873,0.00029017993953784406,0.023037454765918907,2.3323547734576948e-08,0.9851638755427495,0.47747951772533626,0.7793446381954126,0.14978965856587378,0
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,1.327999309079252e-07,0.7106485663261385,0.3862131924785777,0.6045166371603503,4,0.005314874877243598,1.0556720298870289e-07,0.02215065258986393,2.2176517998966307e-06,0.9764702539788517,0.5306781889382794,0.8306391403476148,0.10613192916578817,1
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,8.244651557450273e-09,0.7075510508585053,0.44762358980109207,0.008263632080962612,4,0.004907222605364785,0.002094010207100345,0.04901517750377096,8.056404006119851e-13,0.9722140971965765,0.6150594557301944,0.011354685422924147,0.6992874187775427,2
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,7.849028778626865e-12,0.697893950161409,0.2142952223105639,0.6148882766489957,4,0.003645526371941734,8.352410835612871e-12,0.211600956634629,1.0579478112091768e-10,0.9589447091794544,0.29445343320374506,0.8448903440023433,0.08300567351241328,3
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,1.0937132014872124e-11,0.7131612153023428,0.2907512543885424,0.5975012746884852,4,0.0007741815941275206,1.516159484163281e-08,0.033379943786212174,5.233622892645064e-11,0.979922772002828,0.39950823046782125,0.8209996460894754,0.11565994061385754,4
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,2.4700562915478955e-12,0.7043828966198094,0.22431813080526924,0.010881511083680058,4,3.532118580031128e-07,1.2852523531927403e-06,0.04367428841102301,1.1628121284542226e-12,0.9678608788539338,0.3082254612738617,0.014951795296633864,0.6935013855361293,5
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,2.1021566919440098e-08,0.6973326268218449,0.36750917244215175,0.3549812525360557,4,0.003656013487168027,1.0935018508980157e-07,0.014749603254341406,6.612174784113543e-10,0.9581734200079558,0.5049778356823601,0.4877637840227974,0.3423513742857892,6
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,5.2018285246519055e-05,0.4496419689688137,0.29926808832885626,0.12972517784110274,4,0.1243670476073673,0.00011921977705624015,0.006286813384365728,8.581003893650135e-06,0.6178328198259242,0.41121082918519813,0.17824953620721057,0.319916791127711,7
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,0.016534971360354794,0.7198104347031042,0.4549919462185068,0.7133806071854062,6,0.23703964512861478,1.460131382315947e-07,0.0014809033650872584,9.370553012464255e-09,0.9890591655237331,0.6251839831031486,0.9802242285284963,0.00642982751769805,0
expB_capacity,10,"[0, 0]","[9, 9]","[9, 0]",0.04,90,0.45,8.0,0.1,0.05,0.3,0.9814814814814815,144,0.727772877289849,"[4, 6, 8, 12, 16, 24, 40, 64, 100]","[0, 1, 2, 3, 4, 5, 6, 7]",10000,1.2338082707981607e-06,0.7117137097830563,0.537308864819712,0.6631713860542455,6,0.7575405441250025,0.0002721162289383795,0.02344705296519499,1.3473379188719994e-06,0.9779338197287657,0.7382919611137402,0.9112339944899118,0.04854232372881073,1
