cfg.size,cfg.start,cfg.goal,cfg.door_row,cfg.room_payout,cfg.d_feat,cfg.tau,cfg.lr,cfg.delta_c,cfg.delta_phi,cfg.beta0,cfg.dbudget,cfg.lam_withdraw_beta,cfg.dlam,cfg.gbeta_patience,cfg.seeds,cfg.n_iters,cfg.trace_every,cfg.fd_checkpoints,cfg.advisor_mode,cfg.fd_eps_b,cfg.fd_eps_l,cfg.fd_K,cfg.lam_default,cfg.warmup_iters,cfg.j_opt,cfg.gamma,iter,beta,lam,D_e,G_beta,H_lambda,I_e,J_ext_actor,J_ext_advisor,J_ext_mix,J_ext_solo,dJ_dbeta,dJ_dlambda,room_occ,seed
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,0,0.45,1.0,0.0,0.0,7.932079564166815e-06,0.0,0.008477069553485412,0.008477069553485412,0.008477069553485412,0.008477069553485412,-0.0,0.0006424984446975131,0.028561813333302318,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,25,0.45,1.0,0.0011937946756156014,-4.8481103909842286e-06,8.007806024606293e-06,0.0005372076040270206,0.008875131298062423,0.009137125864956908,0.008992535516484313,0.009219381957517056,0.00026179796111314873,0.0006486322879931108,0.03013640892949252,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,50,0.45,1.0,0.002444856240475817,-1.0336319828445998e-05,8.045371894018392e-06,0.0011001853082141177,0.009307309454876445,0.00986626850046853,0.009556800517903051,0.010068815857846854,0.0005581612707360848,0.0006516751234154907,0.03184741635449298,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,75,0.45,1.0,0.0037579428841910643,-1.654426258776194e-05,8.033802115344811e-06,0.001691074297885979,0.00977752189770865,0.010672712010907956,0.010175631710079075,0.011045850149488248,0.0008933901797391461,0.0006507379713429308,0.03370922770117632,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,100,0.45,1.0,0.00513643668231972,-2.3559639192905164e-05,7.959636503579887e-06,0.002311396507043874,0.010290211542924251,0.011565592488832786,0.010855535088751853,0.012175579986019095,0.001272220516416881,0.0006447305567899719,0.035737746937992615,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,125,0.45,1.0,0.006584422353687653,-3.147811667240372e-05,7.806447370973396e-06,0.0029629900591594443,0.010850419110149207,0.012555016546300413,0.011603839476490413,0.013488819115394908,0.0016998183003098034,0.0006323222370488461,0.037950477351078926,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,150,0.45,1.0,0.008105872630670714,-4.040277705084445e-05,7.55429726500585e-06,0.003647642683801821,0.01146386429692471,0.01365208897828169,0.012428783150579511,0.015023434651334223,0.0021817499607456035,0.0006118980784654748,0.0403665811218526,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,175,0.45,1.0,0.009705347446326229,-5.044293085925131e-05,7.179146924536609e-06,0.004367406350846803,0.012137035456292654,0.014868908729188614,0.013339600097556775,0.01682592955046518,0.002723918266399575,0.0005815109008874662,0.043006895872793896,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,200,0.45,1.0,0.01138679662957587,-6.17120733483937e-05,6.652234721724465e-06,0.005124058483309142,0.012877287468840327,0.016218520753221007,0.01434660161743606,0.01895326206257825,0.0033324519608132655,0.0005388310124596825,0.04589388912492037,0
10,"[0, 0]","[9, 9]",9,0.01,16,0.3,8.0,0.1,0.05,0.45,0.06,0.05,0.01,5,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,25,"[0, 100, 250, 500, 1000, 2000, 3500, 5000, 7000, 9999]",shaped,0.001,0.001,300,1.0,150,0.7278,0.9814814814814815,225,0.45,1.0,0.013153548578255958,-7.432472748021157e-05,5.939464402978735e-06,0.005919096860215182,0.013692946960736226,0.01771480986344217,0.015461247573550219,0.021474845484564006,0.004013535283931431,0.00048109661664127827,0.04905152777099789,0
