advisor_mode,beta,lam,beta_mean,beta_std,lam_mean,lam_std,J_ext_mix_mean,J_ext_mix_std,J_ext_advisor_mean,J_ext_advisor_std,J_ext_actor_mean,J_ext_actor_std,J_ext_solo_mean,J_ext_solo_std,competence_mean,competence_std,G_beta_mean,G_beta_std,dJ_dbeta_mean,dJ_dbeta_std,H_lambda_mean,H_lambda_std,dJ_dlambda_mean,dJ_dlambda_std,D_e_mean,D_e_std,I_e_mean,I_e_std,room_occ_mean,room_occ_std
boltzmann,0.45,0.0,0.4499999999999999,0.0,0.0,0.0,0.3490252652432361,0.03518794015484481,0.056939796860025156,0.005714652717089155,0.47648828370159746,0.06575688103071042,0.6050503095923923,0.03340191511017208,0.6546967349568528,0.09035020751677718,0.00782456828329529,0.001121965519302619,-0.42252668729794635,0.06058613804234154,-9.685919611305969e-05,4.963823638862055e-05,-0.007845594885157847,0.004020697147478271,0.28317139244942346,0.016805091436028836,0.12742712660224054,0.007562291146212969,0.45298695309685144,0.03859624941231432
boltzmann,0.45,0.25,0.4499999999999999,0.0,0.25,0.0,0.3481776289200488,0.035685405767899483,0.056369276874565825,0.005623313707952787,0.47754341668637745,0.0680452170984156,0.6050503095923923,0.03340191511017208,0.6561464917372595,0.0934943900775152,0.007922672682441154,0.0011655127830387823,-0.42782432485182287,0.06293769028409434,-0.00010137918673570911,5.114481647769912e-05,-0.008211714125592452,0.004142730134693636,0.28326983585387777,0.017006099352484757,0.127471426134245,0.007652744708618142,0.4523661079426373,0.03827502567525023
boltzmann,0.45,0.5,0.4499999999999999,0.0,0.5,0.0,0.3470515129005469,0.03625430009518534,0.05536763235212398,0.005514959053210173,0.4767455119123184,0.07087156181976602,0.6050503095923923,0.03340191511017208,0.6550501675079945,0.09737779859819462,0.008015289810275713,0.0012046116180456836,-0.43282564975488924,0.06504902737446702,-0.0001069046632840109,5.3064494751375745e-05,-0.008659277726004899,0.004298224074861444,0.2835461384235182,0.01735866770880882,0.1275957622905832,0.007811400468963979,0.45165658734938596,0.03796540454191482
boltzmann,0.45,0.75,0.4499999999999999,0.0,0.75,0.0,0.3455670750177512,0.03698171484600034,0.05387069427636587,0.005356048826620199,0.4741989364575163,0.0744818947021844,0.6050503095923923,0.03340191511017208,0.6515511630358839,0.10233840986834901,0.008105825080707736,0.0012389690496669473,-0.4377145543582185,0.06690432868201526,-0.00011359973545821979,5.5433483357866986e-05,-0.009201578572115818,0.004490112151987234,0.28405163759250723,0.01767739981513451,0.12782323691662828,0.00795482991681054,0.45082704905147886,0.03767169254205525
boltzmann,0.45,1.0,0.4499999999999999,0.0,1.0,0.0,0.34363644886510014,0.03797589431334024,0.05181334787502216,0.0051095808040522335,0.4699995803073208,0.07907912503674067,0.6050503095923923,0.03340191511017208,0.645781231529707,0.10865502203454332,0.008198523373524814,0.0012680182585695621,-0.4427202621703407,0.06847298596275642,-0.00012152875531406557,5.8219088359735415e-05,-0.009843829180439329,0.004715746157138576,0.2847019203746939,0.017892107651676464,0.12811586416861226,0.00805144844325441,0.44982456680108207,0.03742960839239283
boltzmann,0.45,1.25,0.4499999999999999,0.0,1.25,0.0,0.3411625362338495,0.039371077314350536,0.049138138890729835,0.0047389048563211515,0.46418016102323123,0.08472610123951287,0.6050503095923923,0.03340191511017208,0.6377853270448355,0.11641398906226004,0.008296401673605645,0.0012937510996985616,-0.4480056903747055,0.06986255938372243,-0.00013058042621101327,6.128165144020538e-05,-0.010577014523092091,0.004963813766656644,0.28531882568717815,0.018054310192558733,0.12839347155923017,0.008124439586651423,0.4485662058116119,0.03732022567302728
boltzmann,0.45,1.5,0.4499999999999999,0.0,1.5,0.0,0.3380384518171411,0.04132374033041649,0.0458135199847857,0.00421911673506559,0.4566400530135749,0.09129657969792042,0.6050503095923923,0.03340191511017208,0.6274251896311829,0.12544185174212752,0.008398153683744889,0.0013244009181277154,-0.4535002989222248,0.07151764957889672,-0.000140324924860877,6.426174260693965e-05,-0.011366318913731058,0.00520520115116212,0.2860202754139199,0.018239380799988228,0.12870912393626394,0.008207721359994704,0.44692653876376076,0.03749028734573902
boltzmann,0.45,2.0,0.4499999999999999,0.0,2.0,0.0,0.3298862227096061,0.04682482538118355,0.037390676352656686,0.0028312759038907212,0.43532748476822375,0.10687236314373709,0.6050503095923923,0.03340191511017208,0.5981416388681282,0.14684303812000152,0.00858949452603639,0.001471031489707656,-0.4638327044059658,0.0794357004442135,-0.00015639257171713066,6.468143091705921e-05,-0.012667798309087604,0.005239195904281803,0.28747605730203973,0.01829371436526383,0.12936422578591789,0.008232171464368722,0.4420884772555806,0.03940588365049924
boltzmann,0.45,3.0,0.4499999999999999,0.0,3.0,0.0,0.31677179645750075,0.04594098103639866,0.01858116043930031,0.0018630639327358815,0.3921108045443209,0.13498723957083067,0.6050503095923923,0.03340191511017208,0.538761753976808,0.18547298649468347,0.009478666355494283,0.0014835399071654065,-0.5118479831966921,0.08011115498693203,-0.00017359252465041673,6.0076101638047295e-05,-0.014060994496683774,0.004866164232681839,0.29347774991507325,0.014013243233444944,0.13206498746178297,0.006305959455050229,0.43556747939370954,0.04018743146652414
shaped,0.45,0.0,0.4499999999999999,0.0,0.0,0.0,0.444186185671517,0.06900451447647221,0.412070477233309,0.07173822879333543,0.46563275136436505,0.0682885681814757,0.6050503095923923,0.03340191511017208,0.6397811917619746,0.09382875540186271,0.0009790122322375955,0.00017040334033407485,-0.052866660540830245,0.009201780378040059,-9.525127387249098e-05,5.2804737550376734e-05,-0.007715353183671783,0.004277183741580523,0.034001383355226414,0.008024314678720819,0.015300622509851886,0.003610941605424368,0.5374470647603503,0.06150398379896493
shaped,0.45,0.25,0.4499999999999999,0.0,0.25,0.0,0.45576667693107376,0.06195460561000678,0.410747758189971,0.07348568848675427,0.460675887523382,0.07900773485098174,0.6050503095923923,0.03340191511017208,0.6329704417743638,0.10855693164465753,0.0009348839654988307,0.00014518609287689723,-0.050483734136936936,0.007840049015352466,-9.027263534902992e-05,5.162789365264717e-05,-0.007312083463271436,0.004181859385864428,0.05820040850218898,0.035124001928950294,0.02619018382598504,0.015805800868027627,0.5502383020363352,0.05598745680404056
shaped,0.45,0.5,0.4499999999999999,0.0,0.5,0.0,0.4658744115758273,0.05574774937469227,0.3846906427319259,0.07778428886128903,0.4416048797039128,0.10506197163311509,0.6050503095923923,0.03340191511017208,0.6067668036602264,0.14435555321944915,0.0009321183624115807,0.00019934182070340827,-0.050334391570225435,0.010764458317984062,-8.69719599636471e-05,5.1352888030031555e-05,-0.007044728757055427,0.004159583930432563,0.08529770852559031,0.04859864628199808,0.03838396883651564,0.021869390826899135,0.5616865823022335,0.05088470151075816
shaped,0.45,0.75,0.4499999999999999,0.0,0.75,0.0,0.4729930492724551,0.05200021605462864,0.34695445523532753,0.08527708382061493,0.42314017164344003,0.12736445872449442,0.6050503095923923,0.03340191511017208,0.5813962237475132,0.17499925628537297,0.0009541231171288809,0.0002762409880914501,-0.05152264832495965,0.014917013356938331,-8.639443728051131e-05,5.0671217146313656e-05,-0.0069979494197214285,0.004104368588851413,0.1063578949214748,0.05410180606998679,0.04786105271466366,0.024345812731494065,0.570512216939999,0.04747633987697659
shaped,0.45,1.0,0.4499999999999999,0.0,1.0,0.0,0.47745745015956886,0.049716727897772844,0.3074085564889279,0.09132880721886825,0.4076135160223153,0.14232405241889637,0.6050503095923923,0.03340191511017208,0.5600625391897711,0.19555379557419125,0.001020257972925415,0.0003516897167648102,-0.055093930537972506,0.01899124470529978,-8.780445368148814e-05,5.008853670686052e-05,-0.007112160748200551,0.004057171473255709,0.1236722868197317,0.05610324594058095,0.055652529068879276,0.025246460673261424,0.5772815215127152,0.04538397050125473
shaped,0.45,1.25,0.4499999999999999,0.0,1.25,0.0,0.4796043172896185,0.04821223292725255,0.2704036149436416,0.08930354918670502,0.3941101103992404,0.15179862734704813,0.6050503095923923,0.03340191511017208,0.5415088079132184,0.20857189797615847,0.0011517413624551505,0.0004610665512548923,-0.06219403357257822,0.024897593767764223,-9.035613617295243e-05,4.965656331183049e-05,-0.007318847030009157,0.004022181628258277,0.13879468299477604,0.056585390941756,0.06245760734764922,0.025463425923790205,0.582497393153307,0.04410849758283501
shaped,0.45,1.5,0.4499999999999999,0.0,1.5,0.0,0.4798655973195437,0.04711086433226304,0.23720326127367128,0.0808537230496387,0.3816812746143056,0.15757357730559146,0.6050503095923923,0.03340191511017208,0.5244315397283672,0.21650670143664671,0.0013494619956438201,0.0006200093050157722,-0.0728709477647664,0.03348050247085174,-9.329548356588814e-05,4.90111043654461e-05,-0.007556934168836952,0.003969899453601141,0.15293309020943108,0.056564134491091884,0.06881989059424398,0.02545386052099135,0.5864679253928975,0.04331934756014717
shaped,0.45,2.0,0.4499999999999999,0.0,2.0,0.0,0.4761334391002603,0.045585578379340234,0.18071117247944862,0.07174696920614007,0.3583289578572692,0.1628830662826175,0.6050503095923923,0.03340191511017208,0.4923453666629145,0.22380195971780367,0.0019192017434135323,0.0009494846734084652,-0.10363689414433092,0.05127217236405719,-0.00010232237259562232,4.91279523833824e-05,-0.008288112180245423,0.003979364143053981,0.18045405816508692,0.054989634369167255,0.0812043261742891,0.02474533546612527,0.5915162659412743,0.0428692943696529
shaped,0.45,3.0,0.4499999999999999,0.0,3.0,0.0,0.4429176352752364,0.05537071372928494,0.06012133700062545,0.04283513577414795,0.31515383683271664,0.16267084510493215,0.6050503095923923,0.03340191511017208,0.4330225842713885,0.2235103670032044,0.004995104604374261,0.0030601564333470215,-0.2697356486362105,0.16524844740073943,-0.00015541853230725293,0.00011161121243480839,-0.012588901116887508,0.0090405082072195,0.2437564859650534,0.041649988578984665,0.10969041868427404,0.018742494860543114,0.5915982512143128,0.04356836386676077
boltzmann,0.8,0.0,0.8000000000000002,0.0,0.0,0.0,0.11769721547633376,0.014090156359967429,0.07477260261653804,0.002193882616762983,0.19962099481120954,0.06451193128335465,0.6050503095923923,0.03340191511017208,0.2742800148546435,0.08863964177432626,0.003866690766581668,0.0014875936083048236,-0.20880130139541037,0.08033005484846059,1.1348132864160363e-05,7.476369588054518e-06,0.0016341311324390949,0.001076597220679852,0.20929087206224373,0.028472778249538203,0.167432697649795,0.022778222599630565,0.1855226836069403,0.018765741228720514
boltzmann,0.8,0.25,0.8000000000000002,0.0,0.25,0.0,0.11684878165009449,0.013937248001399722,0.07555528376579093,0.0021667864351578594,0.2025517810268357,0.06504789723442835,0.6050503095923923,0.03340191511017208,0.2783069263902661,0.08937606105307551,0.0037307320127042314,0.0014849160720571586,-0.20145952868602884,0.08018546789108671,-2.9551223840119226e-06,7.841652908869078e-06,-0.0004255376232977175,0.0011291980188771489,0.20731578312142107,0.028160466449430068,0.16585262649713683,0.02252837315954405,0.1891736753004652,0.018464492680517766
